model,scope,n,validity_rate,tail_match_rate,mission_success_rate,mean_latency_s,mean_attempts,retry_rate,mean_output_tokens
gemini-2.5-flash-thinking,overall,10,100.0,100.0,100.0,2.867,1.0,0.0,58.1
gemini-2.5-flash-thinking,L1,3,100.0,100.0,100.0,1.812,1.0,0.0,30.667
gemini-2.5-flash-thinking,L2,3,100.0,100.0,100.0,3.022,1.0,0.0,69.667
gemini-2.5-flash-thinking,L3,4,100.0,100.0,100.0,3.541,1.0,0.0,70.0
gemini-2.5-flash-base,overall,10,100.0,100.0,100.0,1.021,1.0,0.0,57.0
gemini-2.5-flash-base,L1,3,100.0,100.0,100.0,0.735,1.0,0.0,30.667
gemini-2.5-flash-base,L2,3,100.0,100.0,100.0,1.147,1.0,0.0,68.0
gemini-2.5-flash-base,L3,4,100.0,100.0,100.0,1.141,1.0,0.0,68.5
qwen-235b-thinking,overall,10,100.0,100.0,100.0,35.576,1.0,0.0,57.9
qwen-235b-thinking,L1,3,100.0,100.0,100.0,9.604,1.0,0.0,30.667
qwen-235b-thinking,L2,3,100.0,100.0,100.0,42.923,1.0,0.0,69.0
qwen-235b-thinking,L3,4,100.0,100.0,100.0,49.546,1.0,0.0,70.0
qwen-235b-instruct,overall,10,100.0,100.0,100.0,5.218,1.0,0.0,55.5
qwen-235b-instruct,L1,3,100.0,100.0,100.0,5.05,1.0,0.0,30.667
qwen-235b-instruct,L2,3,100.0,100.0,100.0,7.58,1.0,0.0,61.0
qwen-235b-instruct,L3,4,100.0,100.0,100.0,3.572,1.0,0.0,70.0
deepseek-r1,overall,10,100.0,100.0,100.0,51.914,1.0,0.0,50.6
deepseek-r1,L1,3,100.0,100.0,100.0,28.999,1.0,0.0,32.333
deepseek-r1,L2,3,100.0,100.0,100.0,44.516,1.0,0.0,69.0
deepseek-r1,L3,4,100.0,100.0,100.0,74.648,1.0,0.0,50.5
o4-mini,overall,10,100.0,100.0,100.0,4.205,1.0,0.0,30.1
o4-mini,L1,3,100.0,100.0,100.0,2.435,1.0,0.0,7.333
o4-mini,L2,3,100.0,100.0,100.0,4.581,1.0,0.0,48.667
o4-mini,L3,4,100.0,100.0,100.0,5.25,1.0,0.0,33.25
