model,scope,n,validity_rate,tail_match_rate,mission_success_rate,mean_latency_s,mean_attempts,retry_rate,mean_output_tokens
gemini-2.5-flash-thinking,overall,10,100.0,100.0,100.0,2.879,1.0,0.0,57.9
gemini-2.5-flash-thinking,L1,3,100.0,100.0,100.0,2.155,1.0,0.0,30.667
gemini-2.5-flash-thinking,L2,3,100.0,100.0,100.0,3.688,1.0,0.0,69.0
gemini-2.5-flash-thinking,L3,4,100.0,100.0,100.0,2.816,1.0,0.0,70.0
gemini-2.5-flash-base,overall,10,100.0,100.0,100.0,1.118,1.0,0.0,57.3
gemini-2.5-flash-base,L1,3,100.0,100.0,100.0,0.756,1.0,0.0,30.667
gemini-2.5-flash-base,L2,3,100.0,100.0,100.0,1.189,1.0,0.0,68.0
gemini-2.5-flash-base,L3,4,100.0,100.0,100.0,1.336,1.0,0.0,69.25
qwen-235b-thinking,overall,10,100.0,90.0,90.0,36.019,1.0,0.0,54.4
qwen-235b-thinking,L1,3,100.0,100.0,100.0,5.329,1.0,0.0,30.667
qwen-235b-thinking,L2,3,100.0,100.0,100.0,44.234,1.0,0.0,69.0
qwen-235b-thinking,L3,4,100.0,75.0,75.0,52.874,1.0,0.0,61.25
qwen-235b-instruct,overall,10,100.0,100.0,100.0,11.269,1.0,0.0,52.1
qwen-235b-instruct,L1,3,100.0,100.0,100.0,8.333,1.0,0.0,28.0
qwen-235b-instruct,L2,3,100.0,100.0,100.0,12.295,1.0,0.0,69.0
qwen-235b-instruct,L3,4,100.0,100.0,100.0,12.702,1.0,0.0,57.5
deepseek-r1,overall,10,100.0,100.0,100.0,49.103,1.0,0.0,55.8
deepseek-r1,L1,3,100.0,100.0,100.0,17.88,1.0,0.0,29.667
deepseek-r1,L2,3,100.0,100.0,100.0,25.842,1.0,0.0,66.0
deepseek-r1,L3,4,100.0,100.0,100.0,89.967,1.0,0.0,67.75
o4-mini,overall,10,100.0,100.0,100.0,5.603,1.0,0.0,43.6
o4-mini,L1,3,100.0,100.0,100.0,3.278,1.0,0.0,23.667
o4-mini,L2,3,100.0,100.0,100.0,6.734,1.0,0.0,69.0
o4-mini,L3,4,100.0,100.0,100.0,6.498,1.0,0.0,39.5
