model,scope,n,decision_accuracy,FPR,FNR,constraint_valid_rate,tail_match_rate,mission_success_rate,avg_partial_credit,mean_latency_s,mean_attempts,retry_rate,mean_output_tokens,TP,TN,FP,FN,n_replan_gt
gemini-2.5-flash-thinking,overall,32,84.4,16.7,15.0,85.0,70.0,75.0,0.5833,8.878,1.031,3.1,36.875,17,10,2,3,20
gemini-2.5-flash-thinking,Exp1,8,62.5,40.0,33.3,66.7,66.7,62.5,,7.65,1.0,0.0,33.5,2,3,2,1,3
gemini-2.5-flash-thinking,Exp2,9,100.0,0.0,0.0,100.0,100.0,100.0,,9.163,1.0,0.0,48.0,6,3,0,0,6
gemini-2.5-flash-thinking,Exp3,15,86.7,0.0,18.2,81.8,54.5,66.7,0.5833,9.361,1.067,6.7,32.0,9,4,0,2,11
gemini-2.5-flash-base,overall,32,87.5,25.0,5.0,90.0,70.0,71.9,0.5833,1.909,1.188,15.6,34.75,19,9,3,1,20
gemini-2.5-flash-base,Exp1,8,62.5,60.0,0.0,100.0,66.7,50.0,,1.826,1.125,12.5,37.5,3,2,3,0,3
gemini-2.5-flash-base,Exp2,9,100.0,0.0,0.0,83.3,83.3,88.9,,2.843,1.333,22.2,42.444,6,3,0,0,6
gemini-2.5-flash-base,Exp3,15,93.3,0.0,9.1,90.9,63.6,73.3,0.5833,1.393,1.133,13.3,28.667,10,4,0,1,11
qwen-235b-thinking,overall,32,96.9,8.3,0.0,80.0,65.0,75.0,0.5,75.498,1.625,37.5,39.781,20,11,1,0,20
qwen-235b-thinking,Exp1,8,87.5,20.0,0.0,66.7,66.7,75.0,,52.174,1.5,25.0,28.75,3,4,1,0,3
qwen-235b-thinking,Exp2,9,100.0,0.0,0.0,100.0,100.0,100.0,,37.044,1.0,0.0,59.444,6,3,0,0,6
qwen-235b-thinking,Exp3,15,100.0,0.0,0.0,72.7,45.5,60.0,0.5,111.01,2.067,66.7,33.867,11,4,0,0,11
qwen-235b-instruct,overall,32,75.0,8.3,35.0,65.0,20.0,46.9,0.75,4.128,1.031,3.1,23.0,13,11,1,7,20
qwen-235b-instruct,Exp1,8,100.0,0.0,0.0,100.0,0.0,62.5,,3.916,1.125,12.5,14.75,3,5,0,0,3
qwen-235b-instruct,Exp2,9,77.8,0.0,33.3,66.7,50.0,66.7,,3.91,1.0,0.0,18.333,4,3,0,2,6
qwen-235b-instruct,Exp3,15,60.0,25.0,45.5,54.5,9.1,26.7,0.75,4.371,1.0,0.0,30.2,6,3,1,5,11
deepseek-r1,overall,32,93.8,8.3,5.0,95.0,70.0,78.1,0.75,66.392,1.0,0.0,34.531,19,11,1,1,20
deepseek-r1,Exp1,8,87.5,20.0,0.0,100.0,66.7,75.0,,48.024,1.0,0.0,24.875,3,4,1,0,3
deepseek-r1,Exp2,9,100.0,0.0,0.0,100.0,100.0,100.0,,73.433,1.0,0.0,46.778,6,3,0,0,6
deepseek-r1,Exp3,15,93.3,0.0,9.1,90.9,54.5,66.7,0.75,71.963,1.0,0.0,32.333,10,4,0,1,11
o4-mini,overall,32,84.4,16.7,15.0,85.0,55.0,65.6,0.75,7.253,1.094,6.2,20.031,17,10,2,3,20
o4-mini,Exp1,8,87.5,20.0,0.0,100.0,33.3,62.5,,7.735,1.25,12.5,20.5,3,4,1,0,3
o4-mini,Exp2,9,100.0,0.0,0.0,100.0,100.0,100.0,,6.687,1.0,0.0,23.667,6,3,0,0,6
o4-mini,Exp3,15,73.3,25.0,27.3,72.7,36.4,46.7,0.75,7.337,1.067,6.7,17.6,8,3,1,3,11
