model,scope,n,decision_accuracy,FPR,FNR,constraint_valid_rate,tail_match_rate,mission_success_rate,avg_partial_credit,mean_latency_s,mean_attempts,retry_rate,mean_output_tokens,TP,TN,FP,FN,n_replan_gt
gemini-2.5-flash-thinking,overall,32,90.6,16.7,5.0,95.0,70.0,75.0,0.8333,8.445,1.0,0.0,38.25,19,10,2,1,20
gemini-2.5-flash-thinking,Exp1,8,75.0,40.0,0.0,100.0,66.7,62.5,,7.271,1.0,0.0,33.625,3,3,2,0,3
gemini-2.5-flash-thinking,Exp2,9,100.0,0.0,0.0,100.0,100.0,100.0,,6.676,1.0,0.0,42.667,6,3,0,0,6
gemini-2.5-flash-thinking,Exp3,15,93.3,0.0,9.1,90.9,54.5,66.7,0.8333,10.132,1.0,0.0,38.067,10,4,0,1,11
gemini-2.5-flash-base,overall,32,90.6,25.0,0.0,100.0,75.0,75.0,0.6666,1.06,1.094,9.4,31.125,20,9,3,0,20
gemini-2.5-flash-base,Exp1,8,75.0,40.0,0.0,100.0,66.7,62.5,,1.125,1.125,12.5,27.125,3,3,2,0,3
gemini-2.5-flash-base,Exp2,9,100.0,0.0,0.0,100.0,100.0,100.0,,1.375,1.222,22.2,37.111,6,3,0,0,6
gemini-2.5-flash-base,Exp3,15,93.3,25.0,0.0,100.0,63.6,66.7,0.6666,0.836,1.0,0.0,29.667,11,3,1,0,11
qwen-235b-thinking,overall,32,93.8,16.7,0.0,95.0,70.0,75.0,0.8333,99.585,1.406,28.1,41.875,20,10,2,0,20
qwen-235b-thinking,Exp1,8,75.0,40.0,0.0,100.0,66.7,62.5,,49.896,1.0,0.0,50.0,3,3,2,0,3
qwen-235b-thinking,Exp2,9,100.0,0.0,0.0,100.0,100.0,100.0,,57.848,1.222,11.1,35.0,6,3,0,0,6
qwen-235b-thinking,Exp3,15,100.0,0.0,0.0,90.9,54.5,66.7,0.8333,151.129,1.733,53.3,41.667,11,4,0,0,11
qwen-235b-instruct,overall,32,75.0,8.3,35.0,65.0,20.0,46.9,0.75,3.437,1.031,3.1,19.062,13,11,1,7,20
qwen-235b-instruct,Exp1,8,75.0,20.0,33.3,66.7,0.0,50.0,,3.527,1.0,0.0,14.25,2,4,1,1,3
qwen-235b-instruct,Exp2,9,88.9,0.0,16.7,83.3,50.0,66.7,,5.882,1.111,11.1,24.667,5,3,0,1,6
qwen-235b-instruct,Exp3,15,66.7,0.0,45.5,54.5,9.1,33.3,0.75,1.921,1.0,0.0,18.267,6,4,0,5,11
deepseek-r1,overall,32,84.4,16.7,15.0,85.0,70.0,75.0,0.3333,68.532,1.0,0.0,24.094,17,10,2,3,20
deepseek-r1,Exp1,8,75.0,40.0,0.0,100.0,100.0,75.0,,56.616,1.0,0.0,31.75,3,3,2,0,3
deepseek-r1,Exp2,9,100.0,0.0,0.0,100.0,100.0,100.0,,43.311,1.0,0.0,25.222,6,3,0,0,6
deepseek-r1,Exp3,15,80.0,0.0,27.3,72.7,45.5,60.0,0.3333,90.021,1.0,0.0,19.333,8,4,0,3,11
o4-mini,overall,32,78.1,8.3,30.0,70.0,50.0,65.6,0.5,6.776,1.062,3.1,14.312,14,11,1,6,20
o4-mini,Exp1,8,75.0,20.0,33.3,66.7,33.3,62.5,,6.907,1.25,12.5,10.25,2,4,1,1,3
o4-mini,Exp2,9,100.0,0.0,0.0,100.0,100.0,100.0,,6.585,1.0,0.0,24.111,6,3,0,0,6
o4-mini,Exp3,15,66.7,0.0,45.5,54.5,27.3,46.7,0.5,6.821,1.0,0.0,10.6,6,4,0,5,11
